Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
300677,INTCO MEDICAL TECHNOLOGY LTD A,Health Care,Equity,"760,854.83",0,"760,854.83","208,171.00",3.65,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
656,JINKE PROPERTY GROUP LTD A,Real Estate,Equity,"523,149.23",0,"523,149.23","1,298,282.00",0.4,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
IRAO,INTER RAO EES,Utilities,Equity,"18,993.18",0,"18,993.18","121,651,300.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
2074353D,WALSIN LIHWA CORP RIGHTS DUMMY,Industrials,Equity,"17,997.61",0,"17,997.61","9,585,000.00",0,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
MBT,MOBILE TELESYSTEMS PUBLIC JOINT AD,Communication,Equity,"15,813.31",0,"15,813.31","1,581,331.00",0.01,Russian Federation,New York Stock Exchange Inc.,USD,1,USD,-
GAZP,GAZPROM,Energy,Equity,"6,822.22",0,"6,822.22","43,696,315.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
SBER,SBERBANK ROSSII,Financials,Equity,"6,183.63",0,"6,183.63","39,606,181.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,-
SNGS,SURGUTNEFTEGAZ,Energy,Equity,"4,089.36",0,"4,089.36","26,192,370.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
PHOR,PJSC PHOSAGRO GDR,Materials,Equity,"5,194.03",0,"5,194.03","522,749.00",0.01,Russian Federation,London Stock Exchange,USD,1,USD,-
SNGSP,SURGUTNEFTEGAZ PREF,Energy,Equity,"3,905.45",0,"3,905.45","25,014,400.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
RUAL,UNITED COMPANY RUSAL,Materials,Equity,"1,784.27",0,"1,784.27","11,428,270.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,-
ALRS,AK ALROSA,Materials,Equity,"1,530.97",0,"1,530.97","9,805,890.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,-
VTBR,BANK VTB,Financials,Equity,"1,839.81",0,"1,839.81","11,783,971,998.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
NVTK,PAO NOVATEK GDR,Energy,Equity,"3,371.23",0,"3,371.23","337,123.00",0.01,Russian Federation,London Stock Exchange,USD,1,USD,-
FFGRP,FOLLI FOLLIE S.A. SA,Consumer Discretionary,Equity,"2,510.89",0,"2,510.89","246,892.00",0.01,Greece,Athens Exchange S.A. Cash Market,USD,0.98,EUR,-
-,KANGMEI PHARMACEUTICAL RIGHTS OF I,Health Care,Equity,0.41,0,0.41,"274,733.00",0,China,NO MARKET (E.G. UNLISTED),USD,6.71,CNY,-
NLMK,NOVOLIPETSK STEEL,Materials,Equity,878.9,0,878.9,"5,629,360.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,-
MOEX,MOSCOW EXCHANGE,Financials,Equity,824.33,0,824.33,"5,279,850.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,-
POLY,POLYMETAL INTERNATIONAL PLC,Materials,Equity,204.88,0,204.88,"1,312,267.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,-
YNDX,YANDEX NV CLASS A,Communication,Equity,176.05,0,176.05,"1,127,576.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,-
TATN,TATNEFT,Energy,Equity,808.02,0,808.02,"5,175,395.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
LKOH,NK LUKOIL,Energy,Equity,239.47,0,239.47,"1,533,792.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
CHMF,SEVERSTAL,Materials,Equity,125.82,0,125.82,"805,849.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
PLZL,POLYUS,Materials,Equity,19.75,0,19.75,"126,490.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
ROSN,NK ROSNEFT,Energy,Equity,668.5,0,668.5,"4,281,715.00",0,Russian Federation,Standard-Classica-Forts,USD,64.05,RUB,01-Jan-70
