Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"1,499,770,973.15",5.78,"1,499,770,973.15","97,690,000.00",15.35,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,10-Nov-94
700,TENCENT HOLDINGS LTD,Communication,Equity,"1,109,190,578.55",4.28,"1,109,190,578.55","24,758,200.00",44.8,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,Equity,"895,221,528.30",3.45,"895,221,528.30","60,203,456.00",14.87,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
5930,SAMSUNG ELECTRONICS LTD,Information Technology,Equity,"847,265,010.04",3.27,"847,265,010.04","18,921,524.00",44.78,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
3690,MEITUAN,Consumer Discretionary,Equity,"402,552,572.93",1.55,"402,552,572.93","16,251,300.00",24.77,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,Equity,"364,326,282.91",1.4,"364,326,282.91","12,079,054.00",30.16,India,National Stock Exchange Of India,USD,79.18,INR,-
939,CHINA CONSTRUCTION BANK CORP H,Financials,Equity,"252,760,902.34",0.97,"252,760,902.34","380,744,760.00",0.66,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
INFY,INFOSYS LTD,Information Technology,Equity,"252,363,069.38",0.97,"252,363,069.38","13,332,329.00",18.93,India,National Stock Exchange Of India,USD,79.18,INR,-
9618,JD.COM CLASS A INC,Consumer Discretionary,Equity,"250,434,998.35",0.97,"250,434,998.35","7,950,754.00",31.5,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
VALE3,CIA VALE DO RIO DOCE SH,Materials,Equity,"229,853,695.81",0.89,"229,853,695.81","15,894,392.00",14.46,Brazil,XBSP,USD,5.34,BRL,-
HDFC,HOUSING DEVELOPMENT FINANCE CORPOR,Financials,Equity,"194,005,962.21",0.75,"194,005,962.21","6,840,491.00",28.36,India,National Stock Exchange Of India,USD,79.18,INR,-
ICICIBANK,ICICI BANK LTD,Financials,Equity,"191,808,755.98",0.74,"191,808,755.98","20,467,248.00",9.37,India,National Stock Exchange Of India,USD,79.18,INR,-
2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,Equity,"171,649,793.81",0.66,"171,649,793.81","49,421,873.00",3.47,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,26-Sep-91
1120,AL RAJHI BANK,Financials,Equity,"169,332,520.40",0.65,"169,332,520.40","7,790,126.00",21.74,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
2318,PING AN INSURANCE (GROUP) CO OF CH,Financials,Equity,"165,984,703.21",0.64,"165,984,703.21","24,812,500.00",6.69,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
1180,THE SAUDI NATIONAL BANK,Financials,Equity,"156,387,228.93",0.6,"156,387,228.93","8,710,351.00",17.95,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
660,SK HYNIX INC,Information Technology,Equity,"155,863,235.55",0.6,"155,863,235.55","2,157,436.00",72.24,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
TCS,TATA CONSULTANCY SERVICES LTD,Information Technology,Equity,"151,321,182.33",0.58,"151,321,182.33","3,644,036.00",41.53,India,National Stock Exchange Of India,USD,79.18,INR,-
2269,WUXI BIOLOGICS CAYMAN INC,Health Care,Equity,"150,013,977.99",0.58,"150,013,977.99","14,236,000.00",10.54,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
NPN,NASPERS LIMITED N LTD,Consumer Discretionary,Equity,"146,513,940.55",0.56,"146,513,940.55","860,495.00",170.27,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
9999,NETEASE INC,Communication,Equity,"146,204,297.88",0.56,"146,204,297.88","8,242,950.00",17.74,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
1211,BYD LTD H,Consumer Discretionary,Equity,"135,270,863.46",0.52,"135,270,863.46","3,266,500.00",41.41,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
9888,BAIDU CLASS A INC,Communication,Equity,"134,971,213.49",0.52,"134,971,213.49","7,205,856.00",18.73,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
5935,SAMSUNG ELECTRONICS NON VOTING PRE,Information Technology,Equity,"134,026,071.94",0.52,"134,026,071.94","3,256,082.00",41.16,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,07-Jun-93
2454,MEDIATEK INC,Information Technology,Equity,"128,466,408.32",0.5,"128,466,408.32","6,019,338.00",21.34,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,23-Jul-01
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Financials,Equity,"120,958,125.01",0.47,"120,958,125.01","222,315,085.00",0.54,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
NIO,NIO AMERICAN DEPOSITARY SHARES REP,Consumer Discretionary,Equity,"117,292,995.00",0.45,"117,292,995.00","5,213,022.00",22.5,China,New York Stock Exchange Inc.,USD,1,USD,-
3988,BANK OF CHINA LTD H,Financials,Equity,"114,590,095.63",0.44,"114,590,095.63","312,260,000.00",0.37,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
AMXL,AMERICA MOVIL L,Communication,Equity,"109,762,259.44",0.42,"109,762,259.44","112,272,200.00",0.98,Mexico,Bolsa Mexicana De Valores,USD,20.62,MXN,-
PDD,PINDUODUO ADR REPRESENTING INC,Consumer Discretionary,Equity,"108,346,910.56",0.42,"108,346,910.56","1,741,072.00",62.23,China,NASDAQ,USD,1,USD,-
1810,XIAOMI CORP,Information Technology,Equity,"103,552,560.95",0.4,"103,552,560.95","60,557,800.00",1.71,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
BBCA,BANK CENTRAL ASIA,Financials,Equity,"102,923,154.84",0.4,"102,923,154.84","217,385,300.00",0.47,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
HINDUNILVR,HINDUSTAN UNILEVER LTD,Consumer Staples,Equity,"101,969,479.98",0.39,"101,969,479.98","3,264,749.00",31.23,India,National Stock Exchange Of India,USD,79.18,INR,-
PETR4,PETROLEO BRASILEIRO PREF SA,Energy,Equity,"100,183,045.28",0.39,"100,183,045.28","18,773,768.00",5.34,Brazil,XBSP,USD,5.34,BRL,-
NBK,NATIONAL BANK OF KUWAIT,Financials,Equity,"98,261,489.36",0.38,"98,261,489.36","28,473,605.00",3.45,Kuwait,Kuwait Stock Exchange,USD,0.31,KWD,-
35420,NAVER CORP,Communication,Equity,"98,045,050.97",0.38,"98,045,050.97","520,139.00",188.5,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
ETISALAT,EMIRATES TELECOM,Communication,Equity,"96,768,967.77",0.37,"96,768,967.77","13,819,489.00",7,United Arab Emirates,Abu Dhabi Securities Exchange,USD,3.67,AED,-
2222,SAUDI ARABIAN OIL,Energy,Equity,"96,020,465.25",0.37,"96,020,465.25","9,498,309.00",10.11,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
QNBK,QATAR NATIONAL BANK,Financials,Equity,"95,934,230.97",0.37,"95,934,230.97","18,186,803.00",5.27,Qatar,Qatar Exchange,USD,3.64,QAR,-
3968,CHINA MERCHANTS BANK LTD H,Financials,Equity,"95,347,582.67",0.37,"95,347,582.67","15,396,967.00",6.19,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
2010,SAUDI BASIC INDUSTRIES,Materials,Equity,"92,190,349.71",0.36,"92,190,349.71","3,545,928.00",26,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
6400,SAMSUNG SDI LTD,Information Technology,Equity,"90,822,235.05",0.35,"90,822,235.05","218,200.00",416.23,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
600519,KWEICHOW MOUTAI LTD A,Consumer Staples,Equity,"89,212,764.49",0.34,"89,212,764.49","300,387.00",296.99,China,Shanghai Stock Exchange,USD,6.71,CNY,-
2331,LI NING LTD,Consumer Discretionary,Equity,"88,051,222.92",0.34,"88,051,222.92","9,389,000.00",9.38,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
FAB,FIRST ABU DHABI BANK,Financials,Equity,"87,484,778.40",0.34,"87,484,778.40","17,521,045.00",4.99,United Arab Emirates,Abu Dhabi Securities Exchange,USD,3.67,AED,-
PETR3,PETROLEO BRASILEIRO SA PETROBRAS,Energy,Equity,"86,669,391.49",0.33,"86,669,391.49","14,959,720.00",5.79,Brazil,XBSP,USD,5.34,BRL,-
LI,LI AUTO ADR INC,Consumer Discretionary,Equity,"85,426,929.60",0.33,"85,426,929.60","2,174,820.00",39.28,China,NASDAQ,USD,1,USD,-
ITUB4,ITAU UNIBANCO HOLDING PREF SA,Financials,Equity,"82,018,519.00",0.32,"82,018,519.00","19,114,971.00",4.29,Brazil,XBSP,USD,5.34,BRL,-
YUMC,YUM CHINA HOLDINGS INC,Consumer Discretionary,Equity,"81,467,600.48",0.31,"81,467,600.48","1,691,603.00",48.16,China,New York Stock Exchange Inc.,USD,1,USD,-
BAJFINANCE,BAJAJ FINANCE LTD,Financials,Equity,"79,697,673.78",0.31,"79,697,673.78","1,076,691.00",74.02,India,National Stock Exchange Of India,USD,79.18,INR,-
51910,LG CHEM LTD,Materials,Equity,"79,084,793.23",0.3,"79,084,793.23","196,165.00",403.15,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
1024,KUAISHOU TECHNOLOGY,Communication,Equity,"76,121,979.35",0.29,"76,121,979.35","6,930,500.00",10.98,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
BHARTIARTL,BHARTI AIRTEL LTD,Communication,Equity,"75,668,516.64",0.29,"75,668,516.64","8,723,281.00",8.67,India,National Stock Exchange Of India,USD,79.18,INR,-
FSR,FIRSTRAND LTD,Financials,Equity,"75,539,589.49",0.29,"75,539,589.49","19,966,162.00",3.78,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
AXISBANK,AXIS BANK LTD,Financials,Equity,"74,655,857.74",0.29,"74,655,857.74","8,981,191.00",8.31,India,National Stock Exchange Of India,USD,79.18,INR,-
5380,HYUNDAI MOTOR,Consumer Discretionary,Equity,"74,317,003.27",0.29,"74,317,003.27","551,963.00",134.64,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
BBRI,BANK RAKYAT INDONESIA (PERSERO),Financials,Equity,"72,618,479.09",0.28,"72,618,479.09","268,885,608.00",0.27,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
35720,KAKAO CORP,Communication,Equity,"69,534,135.80",0.27,"69,534,135.80","1,238,041.00",56.16,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
WALMEX*,WALMART DE MEXICO V,Consumer Staples,Equity,"69,223,099.27",0.27,"69,223,099.27","20,717,700.00",3.34,Mexico,Bolsa Mexicana De Valores,USD,20.62,MXN,-
BBDC4,BANCO BRADESCO PREF SA,Financials,Equity,"69,033,881.04",0.27,"69,033,881.04","21,198,724.00",3.26,Brazil,XBSP,USD,5.34,BRL,-
2412,CHUNGHWA TELECOM LTD,Communication,Equity,"63,567,777.68",0.25,"63,567,777.68","14,857,410.00",4.28,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
2319,CHINA MENGNIU DAIRY LTD,Consumer Staples,Equity,"63,336,293.73",0.24,"63,336,293.73","12,648,000.00",5.01,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
2303,UNITED MICRO ELECTRONICS CORP,Information Technology,Equity,"62,886,776.85",0.24,"62,886,776.85","47,027,000.00",1.34,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
7010,SAUDI TELECOM,Communication,Equity,"61,311,922.22",0.24,"61,311,922.22","2,348,622.00",26.11,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
270,KIA CORPORATION CORP,Consumer Discretionary,Equity,"60,678,114.71",0.23,"60,678,114.71","1,041,828.00",58.24,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
2020,ANTA SPORTS PRODUCTS LTD,Consumer Discretionary,Equity,"60,254,047.29",0.23,"60,254,047.29","4,830,202.00",12.47,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
1109,CHINA RESOURCES LAND LTD,Real Estate,Equity,"58,812,081.30",0.23,"58,812,081.30","12,803,333.00",4.59,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
TCOM,TRIP COM GROUP ADR LTD,Consumer Discretionary,Equity,"57,249,600.08",0.22,"57,249,600.08","2,149,816.00",26.63,China,NASDAQ,USD,1,USD,-
2308,DELTA ELECTRONICS INC,Information Technology,Equity,"57,059,530.20",0.22,"57,059,530.20","7,694,000.00",7.42,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
PBBANK,PUBLIC BANK,Financials,Equity,"56,695,901.99",0.22,"56,695,901.99","57,580,150.00",0.98,Malaysia,Bursa Malaysia,USD,4.43,MYR,-
MTN,MTN GROUP LTD,Communication,Equity,"56,642,653.19",0.22,"56,642,653.19","6,741,401.00",8.4,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
68270,CELLTRION INC,Health Care,Equity,"56,290,536.64",0.22,"56,290,536.64","390,206.00",144.26,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
KFH,KUWAIT FINANCE HOUSE,Financials,Equity,"55,992,849.68",0.22,"55,992,849.68","20,372,783.00",2.75,Kuwait,Kuwait Stock Exchange,USD,0.31,KWD,-
ASIANPAINT,ASIAN PAINTS LTD,Materials,Equity,"55,787,892.51",0.22,"55,787,892.51","1,527,660.00",36.52,India,National Stock Exchange Of India,USD,79.18,INR,-
GFNORTEO,GPO FINANCE BANORTE,Financials,Equity,"55,619,737.26",0.21,"55,619,737.26","10,224,056.00",5.44,Mexico,Bolsa Mexicana De Valores,USD,20.62,MXN,-
105560,KB FINANCIAL GROUP INC,Financials,Equity,"55,505,812.58",0.21,"55,505,812.58","1,566,638.00",35.43,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
5490,POSCO,Materials,Equity,"55,289,540.30",0.21,"55,289,540.30","312,446.00",176.96,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
LT,LARSEN AND TOUBRO LTD,Industrials,Equity,"55,138,815.86",0.21,"55,138,815.86","2,709,754.00",20.35,India,National Stock Exchange Of India,USD,79.18,INR,-
2891,CTBC FINANCIAL HOLDING LTD,Financials,Equity,"55,076,073.70",0.21,"55,076,073.70","69,251,772.00",0.8,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
2881,FUBON FINANCIAL HOLDING LTD,Financials,Equity,"55,024,163.11",0.21,"55,024,163.11","27,697,974.00",1.99,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
XPEV,XPENG ADR REPRESENTING INC,Consumer Discretionary,Equity,"54,364,346.92",0.21,"54,364,346.92","1,675,843.00",32.44,China,New York Stock Exchange Inc.,USD,1,USD,-
175,GEELY AUTOMOBILE HOLDINGS LTD,Consumer Discretionary,Equity,"53,567,765.24",0.21,"53,567,765.24","24,023,000.00",2.23,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
HCLTECH,HCL TECHNOLOGIES LTD,Information Technology,Equity,"53,569,798.74",0.21,"53,569,798.74","4,284,948.00",12.5,India,National Stock Exchange Of India,USD,79.18,INR,-
TLKM,TELEKOMUNIKASI INDONESIA,Communication,Equity,"52,565,556.42",0.2,"52,565,556.42","195,117,100.00",0.27,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
MARUTI,MARUTI SUZUKI INDIA LTD,Consumer Discretionary,Equity,"52,081,838.64",0.2,"52,081,838.64","479,137.00",108.7,India,National Stock Exchange Of India,USD,79.18,INR,-
2688,ENN ENERGY HOLDINGS LTD,Utilities,Equity,"51,830,171.83",0.2,"51,830,171.83","3,172,900.00",16.34,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
GMEXICOB,GRUPO MEXICO B,Materials,Equity,"51,617,751.22",0.2,"51,617,751.22","12,569,788.00",4.11,Mexico,Bolsa Mexicana De Valores,USD,20.62,MXN,-
B3SA3,B3 BRASIL BOLSA BALCAO SA,Financials,Equity,"51,299,290.90",0.2,"51,299,290.90","24,100,732.00",2.13,Brazil,XBSP,USD,5.34,BRL,-
SOL,SASOL LTD,Materials,Equity,"50,882,741.37",0.2,"50,882,741.37","2,263,639.00",22.48,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
2886,MEGA FINANCIAL HOLDING LTD,Financials,Equity,"50,843,840.41",0.2,"50,843,840.41","43,105,162.00",1.18,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
SQM.B,SOCIEDAD QUIMICA Y MINERA DE CHILE,Materials,Equity,"50,347,846.46",0.19,"50,347,846.46","575,890.00",87.43,Chile,Santiago Stock Exchange,USD,968.2,CLP,-
M&M,MAHINDRA AND MAHINDRA LTD,Consumer Discretionary,Equity,"49,773,607.05",0.19,"49,773,607.05","3,477,356.00",14.31,India,National Stock Exchange Of India,USD,79.18,INR,-
ABEV3,AMBEV SA,Consumer Staples,Equity,"49,288,477.93",0.19,"49,288,477.93","18,485,777.00",2.67,Brazil,XBSP,USD,5.34,BRL,-
55550,SHINHAN FINANCIAL GROUP LTD,Financials,Equity,"49,039,365.80",0.19,"49,039,365.80","1,818,514.00",26.97,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
SBK,STANDARD BANK GROUP,Financials,Equity,"48,565,648.53",0.19,"48,565,648.53","5,303,955.00",9.16,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Financials,Equity,"48,375,054.55",0.19,"48,375,054.55","2,203,138.00",21.96,India,National Stock Exchange Of India,USD,79.18,INR,-
1010,RIYAD BANK,Financials,Equity,"48,175,861.05",0.19,"48,175,861.05","5,414,736.00",8.9,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
688,CHINA OVERSEAS LAND INVESTMENT LTD,Real Estate,Equity,"47,468,890.23",0.18,"47,468,890.23","15,267,960.00",3.11,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
1301,FORMOSA PLASTICS CORP,Materials,Equity,"46,598,929.13",0.18,"46,598,929.13","16,414,280.00",2.84,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
2882,CATHAY FINANCIAL HOLDING LTD,Financials,Equity,"46,590,029.71",0.18,"46,590,029.71","30,818,710.00",1.51,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
300750,CONTEMPORARY AMPEREX TECHNOLOGY LT,Industrials,Equity,"46,568,390.30",0.18,"46,568,390.30","567,330.00",82.08,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
2002,CHINA STEEL CORP,Materials,Equity,"46,086,472.91",0.18,"46,086,472.91","47,276,313.00",0.97,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Consumer Staples,Equity,"45,684,720.43",0.18,"45,684,720.43","7,618,800.00",6,Mexico,Bolsa Mexicana De Valores,USD,20.62,MXN,-
2884,E.SUN FINANCIAL HOLDING LTD,Financials,Equity,"45,656,003.49",0.18,"45,656,003.49","47,571,640.00",0.96,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
2628,CHINA LIFE INSURANCE LTD H,Financials,Equity,"45,420,459.86",0.18,"45,420,459.86","28,426,000.00",1.6,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
386,CHINA PETROLEUM AND CHEMICAL CORP,Energy,Equity,"44,807,080.99",0.17,"44,807,080.99","100,758,800.00",0.44,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
291,CHINA RESOURCES BEER HOLDINGS LTD,Consumer Staples,Equity,"44,806,608.01",0.17,"44,806,608.01","6,470,000.00",6.93,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
ZTO,ZTO EXPRESS CAYMAN ADR REPRESENTIN,Industrials,Equity,"44,737,478.28",0.17,"44,737,478.28","1,669,932.00",26.79,China,New York Stock Exchange Inc.,USD,1,USD,-
1216,UNI-PRESIDENT ENTERPRISES CORP,Consumer Staples,Equity,"44,657,672.26",0.17,"44,657,672.26","18,849,839.00",2.37,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
207940,SAMSUNG BIOLOGICS LTD,Health Care,Equity,"44,378,547.41",0.17,"44,378,547.41","70,601.00",628.58,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
1211,SAUDI ARABIAN MINING,Materials,Equity,"44,342,906.74",0.17,"44,342,906.74","3,418,137.00",12.97,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
SBIN,STATE BANK OF INDIA,Financials,Equity,"43,405,820.02",0.17,"43,405,820.02","7,060,524.00",6.15,India,National Stock Exchange Of India,USD,79.18,INR,-
ITC,ITC LTD,Consumer Staples,Equity,"43,306,259.28",0.17,"43,306,259.28","11,744,570.00",3.69,India,National Stock Exchange Of India,USD,79.18,INR,-
1303,NAN YA PLASTICS CORP,Materials,Equity,"41,462,932.89",0.16,"41,462,932.89","19,009,160.00",2.18,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
QIBK,QATAR ISLAMIC BANK,Financials,Equity,"41,432,013.07",0.16,"41,432,013.07","6,415,180.00",6.46,Qatar,Qatar Exchange,USD,3.64,QAR,-
CPI,CAPITEC LTD,Financials,Equity,"41,372,112.35",0.16,"41,372,112.35","345,281.00",119.82,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
9633,NONGFU SPRING LTD H,Consumer Staples,Equity,"41,020,470.05",0.16,"41,020,470.05","7,075,400.00",5.8,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
2382,SUNNY OPTICAL TECHNOLOGY LTD,Information Technology,Equity,"40,817,239.95",0.16,"40,817,239.95","2,844,900.00",14.35,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
CPALL.R,CP ALL NON-VOTING DR PCL,Consumer Staples,Equity,"40,677,050.77",0.16,"40,677,050.77","22,973,000.00",1.77,Thailand,Stock Exchange Of Thailand,USD,36.15,THB,-
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,Health Care,Equity,"40,540,574.89",0.16,"40,540,574.89","3,778,740.00",10.73,India,National Stock Exchange Of India,USD,79.18,INR,-
1060,SAUDI BRITISH BANK,Financials,Equity,"40,349,532.62",0.16,"40,349,532.62","3,645,539.00",11.07,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
1288,AGRICULTURAL BANK OF CHINA LTD H,Financials,Equity,"38,932,320.77",0.15,"38,932,320.77","113,164,000.00",0.34,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
857,PETROCHINA LTD H,Energy,Equity,"38,245,021.37",0.15,"38,245,021.37","85,028,000.00",0.45,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
TITAN,TITAN COMPANY LTD,Consumer Discretionary,Equity,"37,853,935.30",0.15,"37,853,935.30","1,408,758.00",26.87,India,National Stock Exchange Of India,USD,79.18,INR,-
PTT.R,PTT NON-VOTING DR PCL,Energy,Equity,"37,740,067.09",0.15,"37,740,067.09","39,255,100.00",0.96,Thailand,Stock Exchange Of Thailand,USD,36.15,THB,-
1088,CHINA SHENHUA ENERGY LTD H,Energy,Equity,"37,606,201.54",0.14,"37,606,201.54","13,476,500.00",2.79,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
2313,SHENZHOU INTERNATIONAL GROUP LTD,Consumer Discretionary,Equity,"37,593,264.57",0.14,"37,593,264.57","3,281,800.00",11.46,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
IMP,IMPALA PLATINUM LTD,Materials,Equity,"36,709,269.91",0.14,"36,709,269.91","3,389,287.00",10.83,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
1093,CSPC PHARMACEUTICAL GROUP LTD,Health Care,Equity,"36,532,365.62",0.14,"36,532,365.62","35,838,479.00",1.02,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
6618,JD HEALTH INTERNATIONAL INC,Consumer Discretionary,Equity,"36,482,015.28",0.14,"36,482,015.28","4,442,400.00",8.21,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
BMRI,BANK MANDIRI (PERSERO),Financials,Equity,"36,448,847.69",0.14,"36,448,847.69","73,614,400.00",0.5,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
TATAMOTORS,TATA MOTORS LTD,Consumer Discretionary,Equity,"35,855,949.05",0.14,"35,855,949.05","6,589,160.00",5.44,India,National Stock Exchange Of India,USD,79.18,INR,-
12330,HYUNDAI MOBIS LTD,Consumer Discretionary,Equity,"35,819,421.81",0.14,"35,819,421.81","240,601.00",148.87,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
MAYBANK,MALAYAN BANKING,Financials,Equity,"35,779,065.04",0.14,"35,779,065.04","18,465,000.00",1.94,Malaysia,Bursa Malaysia,USD,4.43,MYR,-
2892,FIRST FINANCIAL HOLDING LTD,Financials,Equity,"35,615,586.26",0.14,"35,615,586.26","41,539,901.00",0.86,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
BGNE,BEIGENE ADS REPRESENTING LTD,Health Care,Equity,"35,588,095.66",0.14,"35,588,095.66","185,926.00",191.41,China,NASDAQ,USD,1,USD,-
5871,CHAILEASE HOLDING LTD,Financials,Equity,"35,464,803.22",0.14,"35,464,803.22","5,504,433.00",6.44,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
1150,ALINMA BANK,Financials,Equity,"35,148,779.81",0.14,"35,148,779.81","3,962,418.00",8.87,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
ELET3,CENTRAIS ELETR BRAS-ELETROBRAS,Utilities,Equity,"35,011,029.63",0.13,"35,011,029.63","4,179,241.00",8.38,Brazil,XBSP,USD,5.34,BRL,-
ATGL,ADANI TOTAL GAS LTD,Utilities,Equity,"34,628,470.29",0.13,"34,628,470.29","1,102,988.00",31.4,India,National Stock Exchange Of India,USD,79.18,INR,-
BAP,CREDICORP LTD,Financials,Equity,"34,435,766.25",0.13,"34,435,766.25","280,125.00",122.93,Peru,New York Stock Exchange Inc.,USD,1,USD,-
WEGE3,WEG SA,Industrials,Equity,"34,415,443.37",0.13,"34,415,443.37","6,652,489.00",5.17,Brazil,XBSP,USD,5.34,BRL,-
ADANITRANS,ADANI TRANSMISSION LTD,Utilities,Equity,"34,312,930.97",0.13,"34,312,930.97","1,101,646.00",31.15,India,National Stock Exchange Of India,USD,79.18,INR,-
5880,TAIWAN COOPERATIVE FINANCIAL HOLDI,Financials,Equity,"34,171,813.87",0.13,"34,171,813.87","39,016,094.00",0.88,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
POWERGRID,POWER GRID CORPORATION OF INDIA LT,Utilities,Equity,"33,841,347.86",0.13,"33,841,347.86","12,606,121.00",2.68,India,National Stock Exchange Of India,USD,79.18,INR,-
